#MALL 2020-06-17
1 - Kuchynské batérie | EA001
2 - Drezy | EA006
3 - Vstavané odsávače | EA007
4 - Komínové odsávače | EA008
5 - Klasické odsávače | EA009
6 - Voľne stojace kombi.sporáky | EA010
7 - Voľne stojace elektri.sporáky | EA011
8 - Vstavané mrazničky | EA012
9 - Mrazničky | EA013
10 - Voľne stojace plynové sporáky | EA014
11 - Vstavané rúry samostatné | EA016
12 - Vstavané plynové dosky samostatné | EA019
13 - Vstavané elektrické dosky samostatné | EA020
14 - Voľne stojace kondenzačné sušičky | EA022
15 - Práčky | EA027
16 - Voľne stojace vinotéky a vitíny | EA034
17 - Chladničky | EA037
18 - Príslušenstvo pre práčky a sušičky | EA038
19 - Autochladničky a boxy | EA039
20 - Umývačky riadu | EA043
21 - Ostatné vstavané spotrebiče | EA046
22 - Voľne stojace mikrovlnné rúry | EA047
23 - Vstavané mikrovlnné rúry | EA048
24 - Príslušenstvo pre odsávače pár | EA050
25 - Príslušenstvo pre umývačky | EA051
26 - Príslušenstvo pre drezy | EA052
27 - Príslušenstvo pre rúry | EA053
28 - Príslušenstvo pre mikrovlnky | EA054
29 - Príslušenstvo pre varné dosky | EA055
30 - Výčapné zariadenie | EA056
31 - Príslušenstvo pre výčapné zariadenie | EA057
32 - Príslušenstvo pre chladničky | EA058
33 - Mini rúry | EA061
34 - Pračky Miele | EA066
35 - Chladničky Miele | EA067
36 - Umývačky Miele | EA068
37 - Sušičky Miele | EA069
38 - Zvlhčovače vzduchu | EB002
39 - Čističky vzduchu | EB003
40 - Ventilátory | EB004
41 - Klimatizácia | EB005
42 - Starostlivosť o chrup-kefky | EB006
43 - Nahrievacie dečky | EB009
44 - Masážne prístroje | EB010
45 - Osobné váhy | EB012
46 - Zastrihávače | EB013
47 - Fény | EB014
48 - Kulmy | EB015
49 - Šijacie stroje | EB016
50 - Lisy na citrusy | EB018
51 - Krájače | EB019
52 - Špecialitky | EB020
53 - Sušičky potravín | EB022
54 - Elektrické hrnce | EB023
55 - Šľahače mlieka | EB024
56 - Elektrické grily | EB025
57 - Fritézy | EB026
58 - Mixéry, šľahače | EB027
59 - Roboty | EB028
60 - Hriankovače | EB029
61 - Sendvičovače | EB030
62 - Vodné filtre | EB031
63 - Varné kanvice | EB032
64 - Žehličky | EB033
65 - Odšťavovače | EB034
66 - Domáce pekárne | EB035
67 - Espressa a kávovary | EB036
68 - Dámske holiace strojčeky | EB037
69 - Vysávače pre suché sanie | EB040
70 - Príslušenstvo pre riad | EB042
71 - Príslušenstvo pre špecialitky | EB043
72 - Mlynčeky na kávu | EB046
73 - Holiace strojčeky pre mužov | EB047
74 - Žehličky na vlasy | EB052
75 - Kávové kapsle | EB053
76 - Príslušenstvo k robotom | EB054
77 - Teplovzdušné ventilátory | EB055
78 - Odvlhčovače vzduchu | EB056
79 - Meteostanice | EB058
80 - Príslušenstvo k vysávačom | EB059
81 - Sodastream | EB064
82 - Príslušenstvo pre SodaStream | EB065
83 - Príslušenstvo k espressům a kávovarom | EB066
84 - Zmrzlinovače | EB067
85 - Príslušenstvo k šijacím strojom | EB069
86 - Príslušenstvo k zubnej kefke | EB070
87 - Príslušenstvo k holiacim strojčekom | EB071
88 - Príslušenstvo k žehličkám | EB072
89 - Príslušenstvo k meteostaniciam | EB076
90 - Mlynčeky na mäso | EB078
91 - Príslušenstvo k čističkám vzduchu | EB079
92 - Zváračky fólií | EB081
